energy zenith azimuth antennas alpha Xmax srad muons target
3.50676e+17 46.2183 334.062 5 79.894 617.048 1.26188e+06 1.66075e-05 1
9.4006e+17 53.5649 240.203 8 76.5087 636.766 9.25472e+06 1.51977 1
7.20001e+17 52.1774 146.858 8 46.7823 636.551 2.82536e+06 1.10746 1
2.21571e+17 50.3943 216.893 21 88.3974 557.078 521539 0.247941 1
7.27868e+17 51.0674 161.529 31 57.4985 662.465 3.71701e+06 1.16693 1
2.4907e+18 36.5741 271.905 5 89.7132 721.169 3.75577e+07 3.17724 1
2.96308e+17 46.1439 347.457 11 72.0864 617.779 629265 0.668298 1
1.10636e+18 32.216 238.156 6 83.0019 662.748 8.64069e+06 1.83951 1
1.92542e+17 30.8727 233.508 12 81.4954 636.268 264926 0.447829 1
1.15059e+18 44.9248 240.617 12 84.6192 621.773 1.30189e+07 1.5844 1
3.4848e+17 53.4517 264.574 22 72.648 636.231 1.15275e+06 0.705785 1
3.60076e+17 53.3242 278.433 7 73.1834 633.05 1.03848e+06 0.546651 1
9.04859e+17 42.6897 174.54 8 62.4285 637.248 6.49144e+06 1.51555 1
3.1451e+17 54.5863 245.347 7 74.2904 632.568 803437 0.696331 1
7.59156e+17 53.5875 318.433 11 85.9743 638.612 5.75455e+06 1.13051 1
6.86626e+17 51.2534 278.481 10 74.8346 624.082 1.79951e+06 1.12266 1
3.13949e+17 51.9841 253.132 7 74.8352 595.768 911212 0.608693 1
2.48095e+17 45.0243 245.37 5 83.7572 606.162 495438 0.577107 1
3.688e+17 30.6509 77.103 6 25.0937 562.077 222437 0.858204 1
7.29419e+17 38.0802 288.723 7 89.9403 596.379 4.15965e+06 1.29285 1
6.46131e+17 51.7969 289.52 11 76.9064 611.532 3.72904e+06 1.14197 1
8.83634e+17 41.7198 259.329 8 84.7248 628.492 7.0592e+06 1.35824 1
3.77612e+18 39.8933 78.355 6 15.5858 711.1 1.05545e+07 4.14483 1
2.77221e+17 53.653 234.315 29 78.2063 660.923 658762 0.504287 1
4.28582e+17 44.7185 306.787 7 88.6886 601.545 1.45461e+06 0.836803 1
3.43812e+17 45.9131 204.532 7 81.4799 634.614 902725 0.776077 1
4.52606e+17 53.2015 339.793 8 81.3574 611.732 2.22722e+06 0.797725 1
2.63743e+17 47.355 314.512 5 89.9959 612.064 620282 0.442657 1
1.86518e+17 39.9128 305.502 10 87.9726 611.621 233722 0.344342 1
2.30902e+17 53.2084 325.402 19 89.7119 632.311 487734 0.494843 1
4.61344e+17 40.7504 38.919 9 37.8093 660.149 478821 0.908052 1
4.6851e+17 46.6812 324.248 11 84.8493 624.181 1.78924e+06 0.896035 1
6.08335e+17 52.826 185.271 9 74.4145 646.318 2.99949e+06 1.04757 1
3.5542e+17 44.3906 359.498 5 64.1025 616.795 1.08067e+06 0.852836 1
4.6906e+17 48.1158 145.19 13 44.614 566.402 1.05737e+06 0.861955 1
3.17883e+17 51.1407 277.048 6 74.837 602.122 905348 0.586864 1
2.17648e+17 50.3889 250.235 24 76.9036 592.752 355056 0.520075 1
5.11695e+17 52.7122 321.757 5 88.8938 686.125 2.4287e+06 0.97562 1
2.94274e+17 45.7247 298.711 6 85.0946 557.004 760011 0.464566 1
2.57993e+17 42.1069 272.557 5 84.5245 652.029 442523 0.483418 1
8.24384e+17 46.5425 223.392 10 89.1192 661.485 5.48671e+06 1.54741 1
5.17774e+17 47.8362 357.499 6 66.6063 617.127 2.0382e+06 0.940789 1
5.701e+17 53.5676 217.901 10 85.9859 596.995 3.32958e+06 1.16076 1
1.68739e+18 49.033 35.507 6 40.0504 653.605 1.21689e+07 2.3191 1
2.8816e+17 52.0113 212.889 32 89.1058 596.255 752369 0.748969 1
9.45255e+17 49.0955 355.084 9 69.2944 636.076 7.8958e+06 1.23208 1
